"id","id2","geography","population","population.moe","mpop","mpop.moe","fpop","fpop.moe","white","white.moe","black","black.moe","ind.alaska","ind.alaska.moe","asian","asian.moe","hawaiian","hawaiian.moe","other","other.moe","two.races","two.races.moe","hispanic","hispanic.moe","fam.houses","fam.houses.moe","married.fams","married.fams.moe","nonfam.houses","nonfam.houses.moe","highschool","highschool.moe","ged","ged.moe","less1yr.college","less1yr.college.moe","some.college","some.college.moe","associates","associates.moe","bachelors","bachelors.moe","masters","masters.moe","professional","professional.moe","doctorate","doctorate.moe","med.income","med.income.moe","pc.income","pc.income.moe","poverty","poverty.moe","med.home.val","med.home.val.moe","m.18to19","m.18to19.moe","m.20","m.20.moe","m.21","m.21.moe","m.22to24","m.22to24.moe","m.25to29","m.25to29.moe","m.30to34","m.30to34.moe","m.35to39","m.35to39.moe","m.40to44","m.40to44.moe","m.45to49","m.45to49.moe","m.50to54","m.50to54.moe","m.55to59","m.55to59.moe","m.60to61","m.60to61.moe","m.62to64","m.62to64.moe","m.65to66","m.65to66.moe","m.67to69","m.67to69.moe","m.70to74","m.70to74.moe","m.75to79","m.75to79.moe","m.80to84","m.80to84.moe","m.85up","m.85up.moe","f.18to19","f.18to19.moe","f.20","f.20.moe","f.21","f.21.moe","f.22to24","f.22to24.moe","f.25to29","f.25to29.moe","f.30to34","f.30to34.moe","f.35to39","f.35to39.moe","f.40to44","f.40to44.moe","f.45to49","f.45to49.moe","f.50to54","f.50to54.moe","f.55to59","f.55to59.moe","f.60to61","f.60to61.moe","f.62to64","f.62to64.moe","f.65to66","f.65to66.moe","f.67to69","f.67to69.moe","f.70to74","f.70to74.moe","f.75to79","f.75to79.moe","f.80to84","f.80to84.moe","f.85up","f.85up.moe","pc_high_school_graduates_25older","pc_not_high_school_graduates_16to19","jobless_16_19","median_size_over_3"
"1500000US390610016002",3.9061e+11,"Block Group 2, Census Tract 16, Hamilton County, Ohio",442,144,248,96,194,74,75,33,345,143,0,11,0,11,0,11,0,11,22,25,0,11,41,27,0,11,229,55,85,45,20,25,20,19,10,16,5,8,45,35,31,21,0,11,0,11,"-","**",13349,4619,15,17,"162500","27485",6,8,0,11,9,17,0,11,17,21,36,30,14,16,8,14,24,27,26,20,27,28,5,7,0,11,0,11,0,11,5,7,6,9,0,11,0,11,0,11,0,11,0,11,18,22,20,19,5,7,0,11,14,21,36,28,30,24,35,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0.701298701298701,0,1,1
"1500000US390610017001",3.9061e+11,"Block Group 1, Census Tract 17, Hamilton County, Ohio",1058,121,585,94,473,94,267,87,717,139,0,11,16,22,0,11,0,11,58,44,10,15,209,50,32,22,346,73,138,70,30,26,50,27,115,53,63,38,148,59,33,20,26,25,0,11,"15052","7286",19333,4460,101,44,"220500","18502",12,17,0,11,12,19,20,17,100,50,39,28,21,18,28,27,30,30,57,34,40,25,13,12,28,25,6,8,13,20,14,22,0,11,0,11,0,11,13,15,14,21,0,11,39,39,78,41,26,28,47,36,23,21,20,19,32,31,24,17,6,9,0,11,0,11,6,8,0,11,17,20,0,11,9,12,0.89069423929099,0,0.761194029850746,1
"1500000US390610018001",3.9061e+11,"Block Group 1, Census Tract 18, Hamilton County, Ohio",768,118,451,97,317,97,611,114,93,40,0,11,22,26,0,11,0,11,42,30,21,21,100,32,87,30,235,60,64,25,39,32,15,16,54,36,37,30,232,73,144,67,25,23,8,12,"98438","35287",52235,9590,3,6,"269100","32110",6,11,5,9,0,11,14,16,119,81,48,24,41,21,41,23,40,34,34,40,14,17,7,10,14,16,11,17,13,13,6,10,0,11,0,11,0,11,10,11,4,9,6,10,24,25,64,34,33,25,42,27,31,20,32,22,8,13,7,10,0,11,5,9,14,14,14,15,0,11,0,11,7,10,0,11,0.958139534883721,0.454545454545455,0.6875,1
"1500000US390610018002",3.9061e+11,"Block Group 2, Census Tract 18, Hamilton County, Ohio",831,201,339,92,492,157,417,107,397,167,0,11,0,11,0,11,9,16,8,14,9,16,109,35,59,25,225,58,87,41,22,22,32,27,76,44,7,11,140,44,85,63,16,18,23,23,"43571","16516",23646,5536,17,17,"94700","41542",0,11,0,11,0,11,27,32,57,32,39,20,39,21,52,47,5,11,14,15,10,14,7,11,0,11,7,14,6,11,32,57,5,11,0,11,5,7,0,11,0,11,0,11,43,31,55,30,65,33,15,14,7,10,0,11,6,10,39,31,0,11,17,23,4,9,7,10,7,10,32,24,6,9,8,12,0.893772893772894,0,0,1
"1500000US390610019001",3.9061e+11,"Block Group 1, Census Tract 19, Hamilton County, Ohio",839,130,428,99,411,82,437,89,316,118,0,11,27,25,0,11,0,11,59,54,15,21,176,44,99,28,320,65,47,39,15,17,51,42,82,46,18,19,260,72,68,29,35,23,53,55,"52083","16090",57997,13940,10,11,"168800","14167",0,11,0,11,0,11,33,31,132,68,63,52,25,28,5,10,7,10,35,34,12,14,0,11,15,14,5,9,6,9,37,18,0,11,13,14,21,23,27,28,0,11,0,11,0,11,46,29,59,36,17,14,33,38,14,14,27,21,40,39,20,19,19,13,6,8,17,13,18,15,11,12,7,10,6,9,0.878491620111732,1,0.7,1
"1500000US390610019002",3.9061e+11,"Block Group 2, Census Tract 19, Hamilton County, Ohio",799,147,407,143,392,86,484,96,247,135,0,11,41,36,0,11,0,11,27,34,23,31,128,45,65,31,253,53,59,42,6,9,0,11,131,76,52,28,145,61,79,25,28,23,22,25,"66058","15892",36970,6418,21,24,"187000","33636",20,23,0,11,0,11,38,30,77,40,50,32,27,26,46,42,25,27,14,16,16,24,21,26,0,11,0,11,6,9,0,11,0,11,0,11,6,10,0,11,6,8,6,9,61,67,98,47,52,25,11,12,46,34,20,12,41,38,20,30,0,11,4,7,0,11,0,11,5,8,0,11,6,8,0,11,0.883248730964467,0,0.5,1
"1500000US390610020001",3.9061e+11,"Block Group 1, Census Tract 20, Hamilton County, Ohio",530,104,181,56,349,71,375,80,127,57,0,11,13,13,0,11,0,11,15,10,4,8,103,43,74,35,211,63,49,29,0,11,28,33,69,33,9,13,155,50,93,37,42,24,34,31,"63529","8839",52693,9608,0,11,"557700","89737",0,11,0,11,0,11,4,7,33,22,29,33,5,7,20,15,0,11,3,6,10,13,7,11,9,10,0,11,9,11,3,5,25,28,7,7,13,9,4,6,0,11,3,5,4,6,53,26,20,15,20,23,13,15,6,9,3,6,14,14,32,19,17,14,27,25,3,5,12,13,31,22,36,32,27,18,0.983572895277207,0,1,1
"1500000US390610020002",3.9061e+11,"Block Group 2, Census Tract 20, Hamilton County, Ohio",1102,126,584,109,518,76,754,101,301,114,0,11,20,14,0,11,6,8,21,14,29,29,165,53,110,47,525,70,40,28,0,11,27,21,124,65,57,32,242,64,205,72,64,31,43,26,"65435","10619",51541,9012,13,18,"204800","12622",21,23,0,11,0,11,95,49,141,64,68,35,37,33,14,15,18,14,13,12,85,35,10,11,16,14,5,7,5,7,7,8,5,7,4,6,5,7,0,11,6,10,0,11,26,26,98,40,86,42,32,21,27,24,51,24,40,27,24,17,16,14,24,18,7,9,23,14,0,11,22,15,4,7,0,11,0.904171364148816,0,0.689655172413793,1
"1500000US390610022001",3.9061e+11,"Block Group 1, Census Tract 22, Hamilton County, Ohio",564,178,266,112,298,124,168,116,373,169,0,11,0,11,0,11,0,11,23,31,23,31,145,75,93,61,124,71,55,55,26,42,10,17,109,69,35,34,76,63,32,50,0,11,0,11,"32379","9749",21390,5706,13,19,"47200","21311",0,11,0,11,0,11,0,11,10,17,13,19,12,18,31,48,0,11,21,29,12,19,26,28,13,17,26,42,12,20,30,47,0,11,0,11,0,11,15,20,0,11,0,11,57,82,0,11,50,26,0,11,27,31,0,11,0,11,47,30,32,50,0,11,0,11,12,21,0,11,0,11,13,20,0,11,0.886304909560723,1,0,1
"1500000US390610022002",3.9061e+11,"Block Group 2, Census Tract 22, Hamilton County, Ohio",521,198,218,92,303,159,120,140,384,190,0,11,0,11,0,11,0,11,17,29,8,13,135,71,22,26,68,44,74,63,34,32,45,48,39,56,7,10,49,46,12,19,0,11,0,11,"29464","22872",14786,6287,25,35,"105600","76399",0,11,0,11,0,11,0,11,59,69,0,11,0,11,0,11,0,11,0,11,7,10,0,11,10,15,11,20,0,11,0,11,11,17,0,11,0,11,25,35,0,11,11,17,30,36,49,58,23,36,12,19,3,13,31,35,0,11,9,13,0,11,10,17,11,21,0,11,0,11,19,25,11,18,0,11,0.942028985507246,0.652173913043478,1,1
"1500000US390610022003",3.9061e+11,"Block Group 3, Census Tract 22, Hamilton County, Ohio",1189,244,731,210,458,165,301,158,663,232,0,11,19,63,0,11,52,85,154,157,69,87,210,80,56,35,313,88,119,63,34,40,56,44,150,85,37,33,34,33,89,57,10,16,10,17,"23169","4026",17224,3985,54,50,"72900","18671",139,106,124,124,22,35,82,62,53,46,48,42,50,46,0,11,0,11,21,24,49,40,0,11,11,18,14,19,0,11,0,11,15,24,0,11,0,11,24,38,0,11,69,96,0,11,53,79,6,12,55,50,0,11,33,35,64,43,12,16,11,18,9,15,0,11,10,19,31,32,28,44,15,22,0,11,0.916666666666667,0,0.828220858895706,1
"1500000US390610023001",3.9061e+11,"Block Group 1, Census Tract 23, Hamilton County, Ohio",1061,193,615,131,446,101,266,100,683,196,0,11,14,17,68,95,0,11,30,34,10,16,223,58,56,26,253,62,157,75,36,36,42,30,64,37,82,55,90,50,39,26,3,7,9,12,"28728","5030",20670,5968,81,40,"138500","116132",6,9,14,18,5,7,37,34,65,38,30,24,53,38,50,43,50,41,3,5,51,24,0,11,0,11,11,15,2,4,1,2,12,12,12,10,0,11,1,9,14,22,0,11,29,30,85,42,56,56,0,11,41,33,7,11,9,12,16,18,22,22,11,15,0,11,0,11,0,11,8,10,6,8,9,13,0.855737704918033,0,1,1
"1500000US390610025001",3.9061e+11,"Block Group 1, Census Tract 25, Hamilton County, Ohio",1306,325,834,289,472,148,1048,291,123,150,0,11,92,50,0,11,37,46,6,10,61,53,68,51,18,22,621,91,109,96,0,11,0,11,95,58,29,47,165,83,34,33,10,16,18,21,"21164","11444",14548,3360,0,11,"106800","46718",29,24,98,67,186,153,116,89,76,48,127,80,10,16,30,36,53,86,28,45,0,11,8,17,10,16,0,11,17,23,0,11,0,11,0,11,6,11,39,38,56,42,152,99,71,49,69,46,29,26,14,37,0,11,17,20,0,11,0,11,7,9,18,16,0,11,0,11,0,11,0,11,0,11,0,11,0.886319845857418,0,0.545454545454545,1
"1500000US390610025002",3.9061e+11,"Block Group 2, Census Tract 25, Hamilton County, Ohio",910,307,685,311,225,115,862,296,0,11,0,11,33,51,0,11,0,11,15,24,11,19,42,31,23,22,291,89,52,43,0,11,0,11,0,11,0,11,55,35,10,15,0,11,0,11,"37938","16618",17697,3255,8,12,"94600","28758",67,53,192,200,214,123,136,95,19,22,0,11,0,11,0,11,10,15,17,22,8,12,0,11,0,11,0,11,0,11,7,11,0,11,5,9,5,8,0,11,46,58,60,79,52,36,30,26,9,15,0,11,0,11,0,11,0,11,17,19,0,11,7,14,0,11,4,9,0,11,0,11,0,11,0,11,0.847826086956522,0,0.447761194029851,1
"1500000US390610026001",3.9061e+11,"Block Group 1, Census Tract 26, Hamilton County, Ohio",1919,400,1097,326,822,263,1697,360,148,101,0,11,40,33,0,11,19,31,15,29,87,53,92,37,50,38,608,109,55,50,16,25,41,44,59,68,22,22,96,70,9,16,0,11,23,28,"27045","5861",12150,1483,32,25,"-","**",151,153,195,123,279,186,244,139,57,55,11,17,34,37,0,11,16,19,2,4,20,22,0,11,10,16,12,18,30,32,2,4,0,11,0,11,0,11,140,74,200,111,253,138,58,45,77,74,1,4,2,9,2,4,22,24,0,11,12,18,0,11,13,19,0,11,0,11,0,11,8,12,0,11,0,11,0.969788519637462,0,0.384615384615385,1
"1500000US390610026002",3.9061e+11,"Block Group 2, Census Tract 26, Hamilton County, Ohio",1347,327,812,255,535,201,972,319,271,139,0,11,36,37,0,11,18,30,50,50,90,56,120,60,65,44,568,111,99,73,9,16,45,44,81,65,65,43,90,71,117,75,20,24,24,29,"32083","10401",22262,4260,17,26,"123300","62463",72,54,90,71,100,71,212,122,74,63,53,50,44,49,15,23,44,31,17,19,32,40,0,11,9,14,0,11,11,15,0,11,9,16,0,11,0,11,53,44,62,96,29,33,99,71,53,62,36,31,17,21,32,36,49,55,36,34,9,15,0,11,0,11,0,11,0,11,11,15,8,13,0,11,16,17,0.956521739130435,0,0.443609022556391,1
"1500000US390610027001",3.9061e+11,"Block Group 1, Census Tract 27, Hamilton County, Ohio",1687,195,899,140,788,141,1257,185,253,90,8,11,52,38,66,101,8,13,43,32,40,27,233,50,133,43,566,62,114,49,28,25,48,41,134,60,86,50,242,67,127,42,33,23,42,33,"34375","6321",23399,3223,13,12,"148600","18386",28,21,46,41,81,75,134,59,175,66,62,37,28,20,34,23,35,23,36,26,39,21,7,10,10,11,14,15,12,13,24,15,15,22,32,29,0,11,73,67,30,33,105,70,78,36,118,49,43,17,28,16,83,57,7,10,23,20,59,32,7,10,31,21,0,11,0,11,12,14,4,7,21,20,0,11,0.89051094890511,0,0.858407079646018,1
"1500000US390610028001",3.9061e+11,"Block Group 1, Census Tract 28, Hamilton County, Ohio",970,176,512,119,458,119,662,143,245,117,0,11,5,7,0,11,0,11,58,44,28,37,157,47,85,36,95,37,121,45,111,47,64,41,72,35,47,31,43,28,7,12,0,11,16,14,"45781","9906",15658,2749,32,28,"67000","34513",23,23,27,23,8,16,52,36,108,41,49,29,37,26,23,21,34,30,50,33,23,24,9,15,14,18,5,7,4,7,0,11,0,11,0,11,0,11,4,7,10,17,0,11,23,21,45,28,51,35,55,32,36,31,6,9,24,21,20,22,18,18,5,7,0,11,15,10,7,12,0,11,0,11,11,18,0.741140215716487,0.615384615384615,0.787878787878788,1
"1500000US390610028002",3.9061e+11,"Block Group 2, Census Tract 28, Hamilton County, Ohio",510,120,274,71,236,73,364,122,133,84,0,11,0,11,0,11,0,11,13,14,0,11,124,43,59,33,97,39,69,37,22,21,21,22,26,24,11,12,35,24,5,10,0,11,0,11,"28906","11095",14516,3328,33,26,"64300","5718",11,17,0,11,4,6,2,5,20,17,2,5,32,26,7,11,6,8,33,27,25,20,22,22,10,11,5,7,5,7,7,10,15,15,6,8,0,11,9,13,0,11,0,11,5,8,20,22,27,26,0,11,12,13,39,29,15,17,27,22,0,11,0,11,5,9,0,11,0,11,0,11,7,9,0,11,0.544668587896254,0,0.230769230769231,1
"1500000US390610029001",3.9061e+11,"Block Group 1, Census Tract 29, Hamilton County, Ohio",1909,293,995,251,914,238,1616,285,111,60,3,5,116,52,0,11,25,49,38,30,65,59,111,88,95,82,400,141,44,44,0,11,0,11,92,106,0,11,140,95,60,81,0,11,0,11,"12577","12224",10727,3261,16,26,"117100","40355",489,126,191,106,48,34,71,49,78,83,74,92,11,47,0,11,0,11,0,11,0,11,26,39,0,11,0,11,0,11,0,11,0,11,0,11,0,11,435,160,127,86,57,54,140,115,73,93,6,13,0,11,0,11,0,11,0,11,0,11,0,11,27,41,21,34,0,11,0,11,0,11,0,11,20,31,1,0,0.714589989350373,1
"1500000US390610029002",3.9061e+11,"Block Group 2, Census Tract 29, Hamilton County, Ohio",1980,389,1038,241,942,299,963,310,207,122,12,21,713,237,0,11,0,11,85,110,53,77,287,139,204,97,754,173,24,44,24,35,18,29,159,101,112,92,499,256,238,101,68,86,71,78,"27218","11927",20337,3718,89,49,"-","**",35,31,18,25,30,33,234,144,305,125,160,112,58,56,91,90,0,11,17,27,0,11,50,81,0,11,0,11,0,11,19,28,0,11,0,11,9,10,16,21,33,37,46,48,163,95,366,192,123,101,0,11,19,28,2,4,0,11,0,11,4,10,0,11,0,11,4,11,5,11,0,11,5,11,55,70,0.938854489164087,0,0.196078431372549,1
"1500000US390610029003",3.9061e+11,"Block Group 3, Census Tract 29, Hamilton County, Ohio",945,325,533,209,412,154,676,338,150,138,0,11,73,52,0,11,0,11,46,72,0,11,119,63,85,58,258,140,101,71,0,11,0,11,30,40,92,109,211,140,55,58,0,11,23,26,"-","**",15236,3006,15,24,"314000","215795",0,11,0,11,0,11,48,77,21,35,91,106,7,12,57,41,21,34,18,30,87,55,0,11,0,11,0,11,0,11,22,26,0,11,10,22,10,22,0,11,0,11,0,11,40,44,21,32,16,26,44,48,14,29,0,11,0,11,0,11,0,11,9,21,12,15,25,34,49,53,9,21,9,22,74,80,0.817891373801917,0,0,1
"1500000US390610030001",3.9061e+11,"Block Group 1, Census Tract 30, Hamilton County, Ohio",1089,239,522,138,567,187,604,215,194,102,0,11,194,82,0,11,21,29,76,84,25,30,104,37,38,33,333,72,83,58,20,29,17,21,41,31,13,25,143,57,40,27,18,14,26,18,"23814","4687",16103,4312,31,30,"102800","17559",38,39,37,30,59,48,107,63,83,39,42,37,3,7,24,24,40,30,7,15,27,24,0,11,4,6,0,11,4,6,9,8,0,11,10,12,0,11,73,46,160,129,91,56,39,30,58,37,42,37,5,8,31,23,4,8,7,12,13,15,0,11,0,11,5,8,0,11,18,20,6,9,0,11,0,11,0.907239819004525,0,0.488,1
"1500000US390610030002",3.9061e+11,"Block Group 2, Census Tract 30, Hamilton County, Ohio",1733,277,891,184,842,151,1387,220,186,109,0,11,72,44,0,11,5,10,83,50,30,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,2,6,4,7,0,11,"-","**",5659,848,0,11,"-","**",781,170,40,34,13,19,43,63,6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,797,143,21,23,16,33,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,0,0.739021329987453,0
"1500000US390610030003",3.9061e+11,"Block Group 3, Census Tract 30, Hamilton County, Ohio",2136,219,1184,141,952,152,1601,178,284,114,0,11,157,61,0,11,6,12,88,54,66,55,11,19,11,19,58,43,23,38,0,11,0,11,0,11,6,13,6,11,0,11,0,11,0,11,"-","**",6535,1065,0,11,"-","**",1002,135,81,43,21,24,62,64,6,13,0,11,0,11,0,11,0,11,0,11,12,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,708,105,123,74,40,24,44,51,0,11,6,11,0,11,0,11,0,11,0,11,0,11,11,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,0,0.742774566473988,1
"1500000US390610032001",3.9061e+11,"Block Group 1, Census Tract 32, Hamilton County, Ohio",1542,177,802,139,740,108,895,177,337,122,3,4,251,74,0,11,17,18,39,27,20,19,153,47,103,42,538,74,69,37,25,21,32,27,45,21,10,10,214,72,114,33,104,44,35,19,"25863","4315",18949,3342,42,29,"177100","128755",63,72,66,43,21,16,151,57,173,50,48,33,36,28,47,28,26,21,17,21,19,22,3,4,11,16,0,11,15,16,2,4,9,15,0,11,11,13,10,17,98,71,53,29,152,68,157,47,69,30,24,17,29,23,0,11,12,13,16,14,0,11,4,6,8,8,3,6,1,5,0,11,0,11,0,11,0.875675675675676,0,0.655913978494624,1
